,Date,Post patch?,Post patch pipette R,PCR cycles,Time spent extracting cytosol,Time spent retracting pipette,patch duration,Picogreen conc. (pg/uL),Picogreen yield (pg),BA conc. >400 (pg/uL),Ratio >400/total,SM_QC_PF,recording duration,post patch class
1637,2017-04-19,Nucleated,,21.0,2.35,0.0,7.41666667,1536.0,,979.0,0.71,pass,5.06666667,Nucleated
1639,2017-04-19,Nucleated,,21.0,2.18333333,0.0,9.46666667,1154.0,,1193.0,0.81,pass,7.28333334,Nucleated
1641,2017-04-19,Nucleated,,21.0,2.53333333,0.0,4.55,1330.0,,1567.0,0.71,pass,2.01666667,Nucleated
1654,2017-04-20,Nucleated,,21.0,2.366666667,0.0,3.766666667,890.0,,894.0,0.66,pass,1.4,Nucleated
1663,2017-04-20,Nucleated,,21.0,2.0,0.0,3.7,1023.0,,878.0,0.65,pass,1.7,Nucleated
1675,2017-04-20,Nucleated,,21.0,2.08333333,0.0,6.55,1701.0,,2281.0,0.74,pass,4.46666667,Nucleated
1688,2017-04-21,Nucleated,,21.0,2.233333333,0.0,7.266666667,1211.0,,1136.0,0.81,pass,5.033333334,Nucleated
1692,2017-04-21,Nucleated,,21.0,1.71666667,0.0,9.11666667,1272.0,,1111.0,0.61,pass,7.4,Nucleated
1693,2017-04-21,Nucleated,,21.0,2.0,0.0,6.13333333,775.0,,746.0,0.75,pass,4.13333333,Nucleated
1701,2017-04-21,Nucleated,,21.0,1.98333333,0.0,3.26666667,1134.0,,1384.0,0.78,pass,1.28333334,Nucleated
1711,2017-04-24,Nucleated,,21.0,2.15,0.0,3.716666667,1419.0,,1055.0,0.67,pass,1.566666667,Nucleated
1717,2017-04-24,Nucleated,,21.0,2.033333333,0.0,3.616666667,942.0,,1091.0,0.66,pass,1.583333334,Nucleated
1724,2017-04-24,Nucleated,,21.0,2.38333333,0.0,6.51666667,655.0,,1120.0,0.91,pass,4.13333334,Nucleated
1729,2017-04-24,Nucleated,,21.0,2.36666667,0.0,4.4,751.0,,748.0,0.63,pass,2.03333333,Nucleated
1739,2017-04-25,Nucleated,,21.0,2.4,0.0,6.3,838.0,,811.0,0.67,pass,3.9,Nucleated
1750,2017-04-25,Nucleated,,21.0,2.36666667,0.0,4.51666667,840.0,,886.0,0.77,pass,2.15,Nucleated
1751,2017-04-25,Nucleated,,21.0,2.33333333,0.0,9.68333333,1085.0,,1181.0,0.7,pass,7.35,Nucleated
1755,2017-04-25,Nucleated,,21.0,2.15,0.0,6.13333333,641.0,,640.0,0.76,pass,3.98333333,Nucleated
1777,2017-04-26,Nucleated,,21.0,2.4,0.0,4.26666667,1207.0,,697.0,0.55,pass,1.86666667,Nucleated
1780,2017-04-26,Nucleated,,21.0,1.98333333,0.0,3.63333333,903.0,,701.0,0.62,pass,1.65,Nucleated
1783,2017-04-26,Nucleated,,21.0,2.16666667,0.0,9.28333333,1195.0,,1317.0,0.83,pass,7.11666666,Nucleated
1800,2017-04-27,Nucleated,,21.0,2.016666667,0.0,3.5,659.0,,426.0,0.64,pass,1.483333333,Nucleated
1812,2017-04-27,Nucleated,,21.0,2.25,0.0,9.0,1241.0,,1007.0,0.62,pass,6.75,Nucleated
1820,2017-04-28,Nucleated,,21.0,2.483333333,0.0,9.166666667,524.0,,360.0,0.59,pass,6.683333334,Nucleated
1830,2017-04-28,Nucleated,,21.0,3.55,0.0,5.41666667,1236.0,,1219.0,0.81,pass,1.86666667,Nucleated
1832,2017-04-28,Nucleated,,21.0,4.06666667,0.0,6.06666667,1356.0,,610.0,0.55,pass,2.0,Nucleated
1850,2017-05-01,Nucleated,,21.0,2.21666667,0.0,4.15,1269.0,,885.0,0.67,pass,1.93333333,Nucleated
1851,2017-05-01,Nucleated,,21.0,2.65,0.0,4.51666667,1169.0,,1140.0,0.75,pass,1.86666667,Nucleated
1852,2017-05-01,Nucleated,,21.0,2.36666667,0.0,4.18333333,2156.0,,2298.0,0.77,pass,1.81666666,Nucleated
1855,2017-05-01,Nucleated,,21.0,2.0,0.0,3.68333333,1287.0,,682.0,0.78,pass,1.68333333,Nucleated
1858,2017-05-01,Nucleated,,21.0,2.65,0.0,4.43333333,2152.0,,708.0,0.82,pass,1.78333333,Nucleated
1862,2017-05-01,Nucleated,,21.0,1.7,0.0,7.78333333,975.0,,226.0,0.38,fail,6.08333333,Nucleated
1864,2017-05-01,Nucleated,,21.0,1.31666667,0.0,5.65,1287.0,,706.0,0.63,pass,4.33333333,Nucleated
1865,2017-05-01,Nucleated,,21.0,2.03333333,0.0,3.11666667,1885.0,,674.0,0.47,pass,1.08333334,Nucleated
1866,2017-05-01,Nucleated,,21.0,2.25,0.0,6.08333333,3616.0,,1709.0,0.52,pass,3.83333333,Nucleated
1870,2017-05-01,Nucleated,,21.0,2.01666667,0.0,6.06666667,856.0,,434.0,0.74,pass,4.05,Nucleated
1878,2017-05-02,Nucleated,,21.0,2.133333333,0.0,4.166666667,1935.0,,709.0,0.75,pass,2.033333334,Nucleated
1879,2017-05-02,Nucleated,,21.0,2.266666667,0.0,5.183333333,1117.0,,617.0,0.76,pass,2.916666666,Nucleated
1881,2017-05-02,Nucleated,,21.0,3.3,0.0,5.783333333,844.0,,539.0,0.81,pass,2.483333333,Nucleated
1886,2017-05-02,Nucleated,,21.0,4.45,0.0,6.033333333,79.0,,15.0,0.56,fail,1.583333333,Nucleated
1891,2017-05-02,Nucleated,,21.0,2.61666667,0.0,4.5,1908.0,,2060.0,0.63,pass,1.88333333,Nucleated
1892,2017-05-02,Nucleated,,21.0,3.35,0.0,5.41666667,2079.0,,1630.0,0.82,pass,2.06666667,Nucleated
1895,2017-05-02,Nucleated,,21.0,1.96666667,0.0,4.21666667,1216.0,,1038.0,0.62,pass,2.25,Nucleated
1896,2017-05-02,Nucleated,,21.0,3.03333333,0.0,5.3,1356.0,,871.0,0.69,pass,2.26666667,Nucleated
1899,2017-05-02,Nucleated,,21.0,3.01666667,0.0,4.98333333,1356.0,,726.0,0.81,pass,1.96666666,Nucleated
1900,2017-05-02,Nucleated,,21.0,2.86666667,0.0,5.31666667,2021.0,,1204.0,0.82,pass,2.45,Nucleated
1901,2017-05-02,Nucleated,,21.0,3.03333333,0.0,4.96666667,1413.0,,808.0,0.8,pass,1.93333334,Nucleated
1904,2017-05-02,Nucleated,,21.0,2.25,0.0,6.25,1853.0,,981.0,0.58,pass,4.0,Nucleated
1916,2017-05-03,Nucleated,,21.0,2.366666667,0.0,5.1,1637.0,,1137.0,0.78,pass,2.733333333,Nucleated
1917,2017-05-03,Nucleated,,21.0,2.316666667,0.0,3.783333333,1690.0,,1107.0,0.78,pass,1.466666666,Nucleated
1920,2017-05-03,Nucleated,,21.0,3.65,0.0,7.85,1300.0,,852.0,0.84,pass,4.2,Nucleated
1927,2017-05-03,Nucleated,,21.0,2.45,0.0,4.38333333,4743.0,,1373.0,0.39,pass,1.93333333,Nucleated
1928,2017-05-03,Nucleated,,21.0,3.65,0.0,6.6,2963.0,,1383.0,0.83,pass,2.95,Nucleated
1929,2017-05-03,Nucleated,,21.0,3.15,0.0,5.35,2032.0,,820.0,0.51,pass,2.2,Nucleated
1936,2017-05-03,Nucleated,,21.0,2.55,0.0,4.31666667,2143.0,,1155.0,0.66,pass,1.76666667,Nucleated
1942,2017-05-03,Nucleated,,21.0,1.93333333,0.0,6.3,1739.0,,1605.0,0.46,pass,4.36666667,Nucleated
1943,2017-05-03,Nucleated,,21.0,2.01666667,0.0,3.35,1457.0,,1571.0,0.68,pass,1.33333333,Nucleated
1953,2017-05-04,Nucleated,,21.0,2.0,0.0,3.683333333,1235.0,,1554.0,0.84,pass,1.683333333,Nucleated
1955,2017-05-04,Nucleated,,21.0,1.7,0.0,3.133333333,535.0,,607.0,0.74,pass,1.433333333,Nucleated
1956,2017-05-04,Nucleated,,21.0,2.0,0.0,4.7,1283.0,,1450.0,0.8,pass,2.7,Nucleated
1961,2017-05-04,Nucleated,,21.0,3.26666667,0.0,5.56666667,2990.0,,1773.0,0.55,pass,2.3,Nucleated
1962,2017-05-04,Nucleated,,21.0,2.83333333,0.0,5.36666667,2259.0,,2056.0,0.52,pass,2.53333334,Nucleated
1964,2017-05-04,Nucleated,,21.0,2.41666667,0.0,5.25,1682.0,,1538.0,0.84,pass,2.83333333,Nucleated
1981,2017-05-05,Nucleated,,21.0,2.633333333,0.0,4.483333333,266.0,,136.0,0.43,fail,1.85,Nucleated
1984,2017-05-05,Nucleated,,21.0,2.366666667,0.0,5.95,571.0,,511.0,0.76,pass,3.583333333,Nucleated
1985,2017-05-05,Nucleated,,21.0,3.016666667,0.0,4.85,1048.0,,1067.0,0.77,pass,1.833333333,Nucleated
1986,2017-05-05,Nucleated,,21.0,2.35,0.0,5.2,1229.0,,1466.0,0.7,pass,2.85,Nucleated
1994,2017-05-05,Nucleated,,21.0,2.36666667,0.0,4.68333333,1948.0,,1327.0,0.69,pass,2.31666666,Nucleated
1997,2017-05-05,Nucleated,,21.0,3.06666667,0.0,5.4,816.0,,875.0,0.82,pass,2.33333333,Nucleated
1999,2017-05-05,Nucleated,,21.0,3.41666667,0.0,6.4,1142.0,,1147.0,0.82,pass,2.98333333,Nucleated
2000,2017-05-05,Nucleated,,21.0,2.55,0.0,5.61666667,1546.0,,1015.0,0.68,pass,3.06666667,Nucleated
2013,2017-05-10,Nucleated,,21.0,2.333333333,0.0,4.316666667,1280.0,,1236.0,0.75,pass,1.983333334,Nucleated
2017,2017-05-10,Nucleated,,21.0,1.966666667,0.0,4.866666667,965.0,,1238.0,0.68,pass,2.9,Nucleated
2024,2017-05-10,Nucleated,,21.0,2.88333333,0.0,5.9,949.0,,715.0,0.7,pass,3.01666667,Nucleated
2026,2017-05-10,Nucleated,,21.0,3.96666667,0.0,8.53333333,1894.0,,2579.0,0.83,pass,4.56666666,Nucleated
2027,2017-05-10,Nucleated,,21.0,3.28333333,0.0,7.23333333,1114.0,,1370.0,0.8,pass,3.95,Nucleated
2029,2017-05-10,Nucleated,,21.0,2.23333333,0.0,5.33333333,1086.0,,1241.0,0.78,pass,3.1,Nucleated
2036,2017-05-10,Nucleated,,21.0,2.63333333,0.0,6.86666667,1180.0,,982.0,0.5,pass,4.23333334,Nucleated
2038,2017-05-10,Nucleated,,21.0,2.58333333,0.0,6.61666667,1573.0,,1625.0,0.59,pass,4.03333334,Nucleated
2050,2017-05-11,Nucleated,,21.0,2.416666667,0.0,4.883333333,564.0,,481.0,0.59,pass,2.466666666,Nucleated
2052,2017-05-11,Nucleated,,21.0,2.133333333,0.0,4.45,728.0,,636.0,0.62,pass,2.316666667,Nucleated
2056,2017-05-11,Nucleated,,21.0,3.98333333,0.0,7.23333333,1103.0,,1142.0,0.61,pass,3.25,Nucleated
2057,2017-05-11,Nucleated,,21.0,2.9,0.0,6.4,1262.0,,1541.0,0.8,pass,3.5,Nucleated
2058,2017-05-11,Nucleated,,21.0,2.96666667,0.0,5.63333333,1262.0,,1710.0,0.84,pass,2.66666666,Nucleated
2059,2017-05-11,Nucleated,,21.0,2.61666667,0.0,6.15,1078.0,,1178.0,0.77,pass,3.53333333,Nucleated
2060,2017-05-11,Nucleated,,21.0,3.13333333,0.0,6.06666667,1042.0,,1053.0,0.74,pass,2.93333334,Nucleated
2061,2017-05-11,Nucleated,,21.0,2.55,0.0,5.4,1057.0,,979.0,0.67,pass,2.85,Nucleated
2063,2017-05-11,Nucleated,,21.0,2.75,0.0,5.28333333,839.0,,912.0,0.77,pass,2.53333333,Nucleated
2077,2017-05-12,Nucleated,,21.0,2.4,0.0,4.716666667,857.0,,1343.0,0.82,pass,2.316666667,Nucleated
2078,2017-05-12,Nucleated,,21.0,2.766666667,0.0,5.016666667,784.0,,528.0,0.65,pass,2.25,Nucleated
2080,2017-05-12,Nucleated,,21.0,2.333333333,0.0,5.2,885.0,,1067.0,0.76,pass,2.866666667,Nucleated
2083,2017-05-12,Nucleated,,21.0,2.75,0.0,6.88333333,914.0,,850.0,0.59,pass,4.13333333,Nucleated
2084,2017-05-12,Nucleated,,21.0,2.36666667,0.0,7.13333333,919.0,,914.0,0.66,pass,4.76666666,Nucleated
2087,2017-05-12,Nucleated,,21.0,2.08333333,0.0,4.35,732.0,,1040.0,0.72,pass,2.26666667,Nucleated
2088,2017-05-12,Nucleated,,21.0,3.58333333,0.0,7.0,699.0,,154.0,0.83,pass,3.41666667,Nucleated
2091,2017-05-12,Nucleated,,21.0,2.85,0.0,5.43333333,640.0,,546.0,0.59,pass,2.58333333,Nucleated
2092,2017-05-12,Nucleated,,21.0,1.41666667,0.0,4.6,691.0,,760.0,0.7,pass,3.18333333,Nucleated
2105,2017-05-15,Nucleated,,21.0,1.716666667,0.0,3.816666667,358.0,,236.0,0.57,fail,2.1,Nucleated
2111,2017-05-15,Nucleated,,21.0,2.3,0.0,5.25,1016.0,,804.0,0.48,pass,2.95,Nucleated
2113,2017-05-15,Nucleated,,21.0,3.56666667,0.0,6.81666667,869.0,,785.0,0.72,pass,3.25,Nucleated
2115,2017-05-15,Nucleated,,21.0,4.53333333,0.0,8.15,1416.0,,661.0,0.47,pass,3.61666667,Nucleated
2124,2017-05-16,Nucleated,,21.0,2.35,0.0,4.033333333,1100.0,,739.0,0.75,pass,1.683333333,Nucleated
2128,2017-05-16,Nucleated,,21.0,2.133333333,0.0,3.983333333,969.0,,504.0,0.71,pass,1.85,Nucleated
2133,2017-05-16,Nucleated,,21.0,4.5,0.0,8.51666667,1026.0,,644.0,0.71,pass,4.01666667,Nucleated
2134,2017-05-16,Nucleated,,21.0,2.35,0.0,6.25,816.0,,570.0,0.75,pass,3.9,Nucleated
2135,2017-05-16,Nucleated,,21.0,2.26666667,0.0,5.61666667,855.0,,247.0,0.32,fail,3.35,Nucleated
2136,2017-05-16,Nucleated,,21.0,2.91666667,0.0,5.58333333,1066.0,,751.0,0.78,pass,2.66666666,Nucleated
2137,2017-05-16,Nucleated,,21.0,2.41666667,0.0,6.13333333,625.0,,341.0,0.73,pass,3.71666666,Nucleated
2145,2017-05-17,Nucleated,,21.0,1.95,0.0,3.783333333,756.0,,580.0,0.67,pass,1.833333333,Nucleated
2147,2017-05-17,Nucleated,,21.0,2.55,0.0,4.283333333,948.0,,1197.0,0.7,pass,1.733333333,Nucleated
2148,2017-05-17,Nucleated,,21.0,2.366666667,0.0,5.716666667,2150.0,,837.0,0.72,pass,3.35,Nucleated
2151,2017-05-17,Nucleated,,21.0,2.216666667,0.0,4.0,1082.0,,783.0,0.79,pass,1.783333333,Nucleated
2152,2017-05-17,Nucleated,,21.0,2.183333333,0.0,4.966666667,1583.0,,827.0,0.76,pass,2.783333334,Nucleated
2153,2017-05-17,Nucleated,,21.0,1.966666667,0.0,3.7,996.0,,697.0,0.76,pass,1.733333333,Nucleated
2160,2017-05-17,Nucleated,,21.0,2.71666667,0.0,6.86666667,1170.0,,494.0,0.5,pass,4.15,Nucleated
2161,2017-05-17,Nucleated,,21.0,2.41666667,0.0,5.76666667,961.0,,423.0,0.66,pass,3.35,Nucleated
2163,2017-05-17,Nucleated,,21.0,3.2,0.0,7.38333333,1095.0,,614.0,0.78,pass,4.18333333,Nucleated
2164,2017-05-17,Nucleated,,21.0,2.6,0.0,6.8,1072.0,,606.0,0.82,pass,4.2,Nucleated
2165,2017-05-17,Nucleated,,21.0,2.6,0.0,7.35,1134.0,,512.0,0.5,pass,4.75,Nucleated
2177,2017-05-18,Nucleated,,21.0,2.05,0.0,4.516666667,1117.0,,875.0,0.73,pass,2.466666667,Nucleated
2178,2017-05-18,Nucleated,,21.0,3.566666667,0.0,7.2,839.0,,573.0,0.81,pass,3.633333333,Nucleated
2189,2017-05-18,Nucleated,,21.0,2.53333333,0.0,6.21666667,967.0,,497.0,0.57,pass,3.68333334,Nucleated
2190,2017-05-18,Nucleated,,21.0,5.55,0.0,8.86666667,828.0,,216.0,0.31,pass,3.31666667,Nucleated
2191,2017-05-18,Nucleated,,21.0,5.91666667,0.0,9.68333333,1338.0,,679.0,0.73,pass,3.76666666,Nucleated
2192,2017-05-18,Nucleated,,21.0,2.88333333,0.0,6.15,1115.0,,427.0,0.52,pass,3.26666667,Nucleated
2193,2017-05-18,Nucleated,,21.0,3.05,0.0,6.81666667,1366.0,,572.0,0.56,pass,3.76666667,Nucleated
2199,2017-05-18,Nucleated,,21.0,2.1,0.0,3.28333333,1510.0,,807.0,0.69,pass,1.18333333,Nucleated
2200,2017-05-18,Nucleated,,21.0,1.43333333,0.0,2.31666667,661.0,,337.0,0.55,pass,0.88333334,Nucleated
2203,2017-05-18,Nucleated,,21.0,0.7,0.0,6.88333333,1217.0,,493.0,0.5,pass,6.18333333,Nucleated
2204,2017-05-18,Nucleated,,21.0,2.25,0.0,5.56666667,1692.0,,401.0,0.33,pass,3.31666667,Nucleated
2205,2017-05-18,Nucleated,,21.0,1.26666667,0.0,5.35,1314.0,,915.0,0.62,pass,4.08333333,Nucleated
2214,2017-05-19,Nucleated,,21.0,2.616666667,0.0,5.683333333,996.0,,603.0,0.67,pass,3.066666666,Nucleated
2215,2017-05-19,Nucleated,,21.0,1.866666667,0.0,3.416666667,1304.0,,600.0,0.55,pass,1.55,Nucleated
2218,2017-05-19,Nucleated,,21.0,1.966666667,0.0,4.716666667,804.0,,566.0,0.74,pass,2.75,Nucleated
2219,2017-05-19,Nucleated,,21.0,1.966666667,0.0,5.033333333,803.0,,597.0,0.8,pass,3.066666666,Nucleated
2224,2017-05-19,Nucleated,,21.0,2.23333333,0.0,6.36666667,1124.0,,1757.0,0.78,pass,4.13333334,Nucleated
2229,2017-05-19,Nucleated,,21.0,2.31666667,0.0,5.71666667,546.0,,796.0,0.62,pass,3.4,Nucleated
2236,2017-05-22,Nucleated,,21.0,2.0,0.0,3.85,509.0,,724.0,0.69,pass,1.85,Nucleated
2238,2017-05-22,Nucleated,,21.0,1.883333333,0.0,3.983333333,669.0,,1231.0,0.77,pass,2.1,Nucleated
2239,2017-05-22,Nucleated,,21.0,2.0,0.0,5.466666667,715.0,,1222.0,0.8,pass,3.466666667,Nucleated
2240,2017-05-22,Nucleated,,21.0,2.216666667,0.0,4.95,624.0,,1119.0,0.73,pass,2.733333333,Nucleated
2244,2017-05-22,Nucleated,,21.0,2.1,0.0,6.53333333,368.0,,194.0,0.44,fail,4.43333333,Nucleated
2252,2017-05-23,Nucleated,,21.0,2.0,0.0,6.05,606.0,,686.0,0.63,pass,4.05,Nucleated
2253,2017-05-23,Nucleated,,21.0,2.416666667,0.0,4.283333333,984.0,,1482.0,0.67,pass,1.866666666,Nucleated
2254,2017-05-23,Nucleated,,21.0,2.35,0.0,5.483333333,643.0,,698.0,0.68,pass,3.133333333,Nucleated
2267,2017-05-23,Nucleated,,21.0,2.56666667,0.0,6.85,808.0,,1078.0,0.78,pass,4.28333333,Nucleated
2268,2017-05-23,Nucleated,,21.0,4.76666667,0.0,9.13333333,1259.0,,1459.0,0.52,pass,4.36666666,Nucleated
2269,2017-05-23,Nucleated,,21.0,3.98333333,0.0,7.68333333,853.0,,1039.0,0.59,pass,3.7,Nucleated
2271,2017-05-23,Nucleated,,21.0,2.9,0.0,6.83333333,1102.0,,1644.0,0.98,pass,3.93333333,Nucleated
2272,2017-05-23,Nucleated,,21.0,3.31666667,0.0,8.23333333,1040.0,,1100.0,0.55,pass,4.91666666,Nucleated
2286,2017-05-24,Nucleated,,21.0,0.8,0.0,4.91666667,1522.0,,1044.0,0.42,pass,4.11666667,Nucleated
2287,2017-05-24,Nucleated,,21.0,0.93333333,0.0,5.06666667,676.0,,554.0,0.55,pass,4.13333334,Nucleated
2288,2017-05-24,Nucleated,,21.0,1.93333333,0.0,6.5,864.0,,914.0,0.77,pass,4.56666667,Nucleated
2292,2017-05-25,Nucleated,,21.0,2.766666667,0.0,5.066666667,937.0,,1622.0,0.68,pass,2.3,Nucleated
2293,2017-05-25,Nucleated,,21.0,2.966666667,0.0,7.616666667,787.0,,1272.0,0.64,pass,4.65,Nucleated
2294,2017-05-25,Nucleated,,21.0,2.433333333,0.0,4.2,915.0,,1608.0,0.68,pass,1.766666667,Nucleated
2295,2017-05-25,Nucleated,,21.0,1.966666667,0.0,4.333333333,412.0,,334.0,0.62,fail,2.366666666,Nucleated
2297,2017-05-25,Nucleated,,21.0,2.016666667,0.0,5.333333333,804.0,,1042.0,0.72,pass,3.316666666,Nucleated
2298,2017-05-25,Nucleated,,21.0,2.616666667,0.0,4.266666667,876.0,,1086.0,0.64,pass,1.65,Nucleated
2299,2017-05-25,Nucleated,,21.0,1.9,0.0,4.7,1031.0,,1071.0,0.65,pass,2.8,Nucleated
2309,2017-05-25,Nucleated,,21.0,1.13333333,0.0,3.8,765.0,,934.0,0.77,pass,2.66666667,Nucleated
2310,2017-05-25,Nucleated,,21.0,1.36666667,0.0,4.56666667,655.0,,573.0,0.61,pass,3.2,Nucleated
2311,2017-05-25,Nucleated,,21.0,1.48333333,0.0,4.7,2117.0,,1314.0,0.55,pass,3.21666667,Nucleated
2313,2017-05-25,Nucleated,,21.0,2.68333333,0.0,5.66666667,1078.0,,809.0,0.58,pass,2.98333334,Nucleated
2320,2017-05-26,Nucleated,,21.0,1.966666667,0.0,3.733333333,863.0,,675.0,0.68,pass,1.766666666,Nucleated
2321,2017-05-26,Nucleated,,21.0,2.95,0.0,6.0,1381.0,,1386.0,0.82,pass,3.05,Nucleated
2323,2017-05-26,Nucleated,,21.0,2.1,0.0,5.016666667,320.0,,112.0,0.42,fail,2.916666667,Nucleated
2325,2017-05-26,Nucleated,,21.0,1.933333333,0.0,4.866666667,1097.0,,1092.0,0.67,pass,2.933333334,Nucleated
2326,2017-05-26,Nucleated,,21.0,2.216666667,0.0,3.966666667,1077.0,,1124.0,0.75,pass,1.75,Nucleated
2327,2017-05-26,Nucleated,,21.0,2.0,0.0,4.916666667,1063.0,,598.0,0.62,pass,2.916666667,Nucleated
2329,2017-05-26,Nucleated,,21.0,1.85,0.0,4.933333333,2820.0,,1250.0,0.49,pass,3.083333333,Nucleated
2333,2017-05-26,Nucleated,,21.0,1.85,0.0,5.63333333,2739.0,,1953.0,0.75,pass,3.78333333,Nucleated
2335,2017-05-26,Nucleated,,21.0,2.06666667,0.0,5.01666667,1443.0,,911.0,0.77,pass,2.95,Nucleated
2340,2017-05-26,Nucleated,,21.0,2.41666667,0.0,6.08333333,1262.0,,834.0,0.69,pass,3.66666666,Nucleated
2341,2017-05-26,Nucleated,,21.0,2.9,0.0,6.75,2140.0,,1062.0,0.56,pass,3.85,Nucleated
2352,2017-06-01,Nucleated,,21.0,3.116666667,0.0,5.783333333,696.0,,497.0,0.63,pass,2.666666666,Nucleated
2354,2017-06-01,Nucleated,,21.0,0.883333333,0.0,5.466666667,369.0,,183.0,0.48,fail,4.583333334,Nucleated
2359,2017-06-01,Nucleated,,21.0,1.5,0.0,5.3,1177.0,,974.0,0.74,pass,3.8,Nucleated
2366,2017-06-02,Nucleated,,21.0,1.9,0.0,3.583333333,1821.0,,768.0,0.66,pass,1.683333333,Nucleated
2368,2017-06-02,Nucleated,,21.0,2.066666667,0.0,5.633333333,805.0,,345.0,0.48,fail,3.566666666,Nucleated
2369,2017-06-02,Nucleated,,21.0,1.816666667,0.0,5.066666667,1098.0,,605.0,0.67,pass,3.25,Nucleated
2370,2017-06-02,Nucleated,,21.0,2.15,0.0,3.933333333,582.0,,668.0,0.75,pass,1.783333333,Nucleated
2371,2017-06-02,Nucleated,,21.0,2.366666667,0.0,5.4,730.0,,858.0,0.77,pass,3.033333333,Nucleated
2372,2017-06-02,Nucleated,,21.0,1.966666667,0.0,3.5,964.0,,850.0,0.69,pass,1.533333333,Nucleated
2373,2017-06-02,Nucleated,,21.0,2.633333333,0.0,5.516666667,806.0,,843.0,0.75,pass,2.883333334,Nucleated
2377,2017-06-02,Nucleated,,21.0,1.6,0.0,4.63333333,506.0,,450.0,0.69,pass,3.03333333,Nucleated
2378,2017-06-02,Nucleated,,21.0,2.05,0.0,5.2,866.0,,1026.0,0.78,pass,3.15,Nucleated
2380,2017-06-02,Nucleated,,21.0,3.53333333,0.0,6.8,914.0,,925.0,0.75,pass,3.26666667,Nucleated
2382,2017-06-02,Nucleated,,21.0,2.31666667,0.0,6.18333333,1022.0,,918.0,0.64,pass,3.86666666,Nucleated
2384,2017-06-02,Nucleated,,21.0,1.0,0.0,5.1,917.0,,728.0,0.78,pass,4.1,Nucleated
2385,2017-06-02,Nucleated,,21.0,1.68333333,0.0,5.35,1238.0,,921.0,0.56,pass,3.66666667,Nucleated
2389,2017-06-02,Nucleated,,21.0,2.46666667,0.0,5.18333333,1371.0,,982.0,0.57,pass,2.71666666,Nucleated
2391,2017-06-02,Nucleated,,21.0,2.08333333,0.0,3.55,703.0,,602.0,0.61,pass,1.46666667,Nucleated
2403,2017-06-05,Nucleated,,21.0,1.983333333,0.0,4.883333333,1087.0,,992.0,0.73,pass,2.9,Nucleated
2411,2017-06-05,Nucleated,,21.0,2.13333333,0.0,5.56666667,1827.0,,1196.0,0.54,pass,3.43333334,Nucleated
2420,2017-06-06,Nucleated,,21.0,2.316666667,0.0,4.566666667,1014.0,,1207.0,0.83,pass,2.25,Nucleated
2421,2017-06-06,Nucleated,,21.0,1.966666667,0.0,5.683333333,1145.0,,1008.0,0.81,pass,3.716666666,Nucleated
2428,2017-06-06,Nucleated,,21.0,1.73333333,0.0,5.7,2327.0,,2019.0,0.47,pass,3.96666667,Nucleated
2431,2017-06-06,Nucleated,,21.0,1.68333333,0.0,5.3,1072.0,,1075.0,0.53,pass,3.61666667,Nucleated
2440,2017-06-07,Nucleated,,21.0,2.08333333,0.0,6.06666667,598.0,,375.0,0.37,pass,3.98333334,Nucleated
2451,2017-06-08,Nucleated,,21.0,2.183333333,0.0,3.883333333,473.0,,658.0,0.76,pass,1.7,Nucleated
2461,2017-06-09,Nucleated,,21.0,1.933333333,0.0,5.316666667,1014.0,,1263.0,0.81,pass,3.383333334,Nucleated
2468,2017-06-09,Nucleated,,21.0,2.08333333,0.0,3.2,848.0,,1119.0,0.72,pass,1.11666667,Nucleated
2478,2017-06-12,Nucleated,,21.0,2.15,0.0,4.4,1709.0,,2552.0,0.73,pass,2.25,Nucleated
2481,2017-06-12,Nucleated,,21.0,2.25,0.0,5.616666667,932.0,,1949.0,0.72,pass,3.366666667,Nucleated
2482,2017-06-12,Nucleated,,21.0,2.1,0.0,3.816666667,1145.0,,2786.0,0.69,pass,1.716666667,Nucleated
2488,2017-06-12,Nucleated,,21.0,2.41666667,0.0,5.68333333,833.0,,2307.0,0.64,pass,3.26666666,Nucleated
2489,2017-06-12,Nucleated,,21.0,2.38333333,0.0,6.35,552.0,,1424.0,0.76,pass,3.96666667,Nucleated
2490,2017-06-12,Nucleated,,21.0,2.28333333,0.0,5.81666667,808.0,,2432.0,0.79,pass,3.53333334,Nucleated
2491,2017-06-12,Nucleated,,21.0,2.31666667,0.0,6.55,913.0,,2236.0,0.66,pass,4.23333333,Nucleated
2492,2017-06-12,Nucleated,,21.0,2.71666667,0.0,6.1,994.0,,4990.0,0.8,pass,3.38333333,Nucleated
2494,2017-06-12,Nucleated,,21.0,1.7,0.0,4.88333333,931.0,,2491.0,0.68,pass,3.18333333,Nucleated
2495,2017-06-12,Nucleated,,21.0,3.6,0.0,6.8,510.0,,1427.0,0.67,pass,3.2,Nucleated
2508,2017-06-13,Nucleated,,21.0,3.05,0.0,6.783333333,339.0,,560.0,0.43,pass,3.733333333,Nucleated
2509,2017-06-13,Nucleated,,21.0,1.9,0.0,3.7,588.0,,1618.0,0.73,pass,1.8,Nucleated
2510,2017-06-13,Nucleated,,21.0,2.083333333,0.0,5.266666667,293.0,,407.0,0.43,pass,3.183333334,Nucleated
